# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\EE\EE314\Project\QuartusProjectFiles\SaleTerminal.csv
# Generated on: Wed Jul 14 13:57:44 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
GPIO_0[19],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_RXD,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
